"","sex","age","race","hispanic_origin","citizenship","nativity","marital","family_size","children","education_level","english_level","salary","hours_worked","weeks_worked","occupation","industry","economic_region"
"1882","male",62,"white","no",1,"native","married",4,0,21,0,1e+05,40,49,"17-2051","5413","Southeast"
"1883","male",47,"white","no",1,"native","married",2,0,21,0,54000,40,49,"27-1024","611M1","Southeast"
"1884","female",57,"black","no",1,"native","divorced",1,0,18,0,29000,40,49,"33-9030","6111","Great Lakes"
"1885","female",47,"white","no",1,"native","married",4,0,21,0,55000,40,49,"29-1141","6111","Plains"
"1886","female",28,"white","no",1,"native","married",2,0,22,0,41000,45,49,"25-2020","6111","Southeast"
"1887","male",30,"white","no",1,"native","married",3,1,20,0,45000,40,49,"15-1212","928110P4","Southeast"
"1888","male",32,"white","no",5,"foreign-born","never married",1,0,22,2,19300,40,49,"25-1000","611M1","Great Lakes"
"1889","male",23,"asian","no",1,"native","never married",1,-1,18,0,24000,55,49,"55-9830","928110P3","Far West"
"1890","male",29,"asian","no",1,"native","married",3,1,20,0,65000,40,49,"15-1211","928P","Far West"
"1891","male",25,"white","no",1,"native","never married",3,0,16,0,1100,12,0,"39-9011","6111","Plains"
"1892","female",59,"white","no",1,"native","married",2,0,16,0,25000,20,49,"43-5052","491","Rocky Mountain"
"1893","male",41,"white","no",1,"native","married",4,2,22,0,49000,25,49,"25-2020","6111","Southeast"
"1894","female",22,"white","yes",1,"native","never married",4,1,19,1,17000,40,49,"25-9040","6111","Rocky Mountain"
"1895","female",44,"black","no",1,"native","divorced",2,1,22,0,20000,40,26,"13-1070","9211MP","Southwest"
"1896","female",57,"white","no",1,"native","married",3,0,19,0,40000,44,49,"43-9061","92M2","Mideast"
"1897","male",31,"white","no",1,"native","never married",1,0,19,0,77000,41,49,"33-1090","8122","Southeast"
"1898","male",43,"white","no",1,"native","married",4,2,20,0,33000,40,49,"49-9021","23","Southeast"
"1899","female",39,"white","no",1,"native","divorced",3,2,20,0,47000,40,49,"33-3050","92MP","Rocky Mountain"
"1900","female",37,"white","no",1,"native","never married",1,0,22,0,70000,45,49,"25-2020","6111","Great Lakes"
"1901","female",53,"white","no",1,"native","married",2,0,22,0,135000,50,49,"19-5010","923","Far West"
"1902","male",56,"white","no",1,"native","married",2,0,22,0,60000,50,49,"25-2020","6111","Rocky Mountain"
"1903","female",49,"white","no",1,"native","married",5,2,21,0,60000,40,49,"41-3091","5614","Southwest"
"1904","female",30,"white","no",1,"native","never married",1,0,21,0,54000,50,49,"25-2030","6111","Rocky Mountain"
"1905","female",24,"white","no",1,"native","never married",3,0,21,0,9600,40,49,"19-40YY","92MP","Southeast"
"1906","male",55,"white","no",1,"native","married",2,0,16,0,54000,40,49,"43-4XXX","2211P","Great Lakes"
"1907","male",40,"white","no",1,"native","married",3,1,18,0,50000,40,49,"47-1011","23","Plains"
"1908","male",27,"white","no",1,"native","married",2,0,23,0,116000,40,49,"29-1051","622M","Mideast"
"1909","male",33,"white","no",1,"native","married",3,1,22,0,44000,55,49,"25-2020","6111","Southeast"
"1910","male",37,"black","yes",1,"native","married",2,0,20,0,65000,40,49,"11-3031","928110P1","Southeast"
"1911","female",52,"white","no",1,"native","married",2,0,24,0,52000,50,49,"25-2050","6111","Southeast"
"1912","male",39,"AIAN","yes",1,"native","never married",3,1,21,1,14000,45,49,"43-1011","9211MP","Rocky Mountain"
"1913","female",33,"white","no",1,"native","married",3,1,23,0,91000,40,49,"23-10XX","92MP","Mideast"
"1914","male",27,"white","yes",1,"native","married",2,0,16,1,29300,65,49,"33-3012","92MP","Rocky Mountain"
"1915","female",37,"white","no",1,"native","married",4,2,22,0,12000,30,47,"25-2020","6111","New England"
"1916","male",36,"white","no",1,"native","married",3,1,21,0,90000,40,49,"49-1011","928110P3","Southeast"
"1917","male",44,"white","no",1,"native","married",2,0,19,0,105000,40,49,"11-91XX","928P","Southeast"
"1918","male",30,"white","no",1,"native","married",2,0,21,1,76000,50,49,"55-9830","928110P1","Southeast"
"1919","male",45,"white","no",1,"native","divorced",1,0,21,0,98000,55,49,"15-1299","928P","Mideast"
"1920","female",21,"white","no",1,"native","married",2,0,21,0,25000,44,49,"25-2020","6111","Rocky Mountain"
"1921","male",37,"white","yes",4,"foreign-born","married",5,3,20,0,80000,45,49,"55-2010","928110P4","Southeast"
"1922","female",51,"white","no",1,"native","never married",1,0,22,0,65000,40,49,"25-2050","6111","Southeast"
"1923","female",32,"white","yes",1,"native","married",4,2,19,1,25000,40,49,"43-9061","92MP","Southeast"
"1924","female",55,"white","no",1,"native","married",3,0,18,0,33800,40,49,"11-91XX","92119","Rocky Mountain"
"1925","male",63,"white","no",1,"native","married",5,0,19,0,6300,28,49,"13-1041","92MP","Great Lakes"
"1926","female",53,"white","yes",1,"native","never married",2,0,21,0,81000,40,49,"11-3061","92M2","Rocky Mountain"
"1927","male",39,"other","yes",1,"native","married",4,2,20,0,66000,66,49,"55-2010","928110P2","Southwest"
"1928","male",55,"asian","no",1,"native","married",3,1,22,0,165000,40,49,"43-1011","928P","Mideast"
"1929","male",46,"white","yes",1,"native","married",2,0,18,0,75000,40,49,"17-2110","92MP","Rocky Mountain"
"1930","male",45,"NHOPI","no",1,"native","divorced",3,1,17,1,25000,40,0,"15-1230","5413","Southwest"
"1931","male",37,"white","no",1,"native","married",4,3,16,0,31000,40,49,"49-9071","3369","Southeast"
"1932","male",59,"white","no",1,"native","married",2,0,21,0,132000,60,49,"11-10XX","485M","Plains"
"1933","female",41,"mix","no",1,"native","married",4,2,22,0,19500,40,49,"25-2020","6111","Far West"
"1934","female",47,"white","no",1,"native","married",3,1,22,0,50000,40,49,"25-2020","6111","Southeast"
"1935","male",60,"white","no",1,"native","married",4,2,20,0,20000,35,47,"53-3051","6111","Mideast"
"1936","male",33,"white","yes",1,"native","married",5,3,18,0,22800,40,26,"25-30XX","928P","Rocky Mountain"
"1937","male",57,"asian","no",4,"foreign-born","never married",3,0,19,1,59000,40,49,"43-5051","491","Far West"
"1938","male",45,"white","no",1,"native","married",5,3,20,0,50000,40,49,"13-2011","92119","Far West"
"1939","male",24,"AIAN","no",1,"native","married",1,-1,19,0,6000,45,49,"55-3010","928110P5","Mideast"
"1940","female",19,"white","no",1,"native","never married",1,-1,19,0,25000,40,49,"53-2020","928110P2","Southeast"
"1941","male",38,"white","no",1,"native","never married",1,0,20,0,8400,20,49,"37-201X","531M","Great Lakes"
"1942","male",39,"white","no",1,"native","married",5,3,19,0,62000,75,49,"33-2011","92MP","Southeast"
"1943","male",37,"white","no",1,"native","married",6,4,21,0,96000,50,49,"55-9830","928110P2","Southwest"
"1944","male",62,"asian","no",4,"foreign-born","married",2,0,21,2,117000,35,49,"17-2070","23","Mideast"
"1945","female",59,"white","no",1,"native","married",2,0,20,0,18000,34,39,"25-9040","6111","Mideast"
"1946","female",45,"asian","no",4,"foreign-born","married",5,3,24,1,116000,40,49,"25-1000","611M1","New England"
"1947","female",62,"white","no",1,"native","married",1,0,20,0,3000,12,26,"43-9061","9211MP","New England"
"1948","female",22,"other","yes",1,"native","never married",1,-1,18,1,680,15,26,"35-2021","722Z","Far West"
"1949","male",41,"AIAN","no",1,"native","married",4,2,21,0,96000,55,49,"33-3021","92MP","Rocky Mountain"
"1950","female",49,"black","no",1,"native","married",3,1,21,0,42000,40,49,"21-1029","6241","Southeast"
"1951","male",54,"white","no",1,"native","married",2,0,16,0,40000,40,49,"37-3011","22132","Great Lakes"
"1952","female",51,"black","no",1,"native","never married",6,0,21,0,50000,40,49,"15-2031","928P","Mideast"
"1953","female",64,"white","no",1,"native","married",3,0,18,0,13000,24,49,"43-6014","92MP","Mideast"
"1954","female",55,"white","no",1,"native","married",2,0,16,0,24200,40,39,"53-3051","6111","Southeast"
"1955","female",61,"white","no",1,"native","married",2,0,16,0,40000,40,49,"43-6014","6111","Southeast"
"1956","female",47,"white","no",1,"native","married",2,0,21,0,39000,40,49,"43-3031","611M1","Plains"
"1957","female",36,"asian","no",4,"foreign-born","married",4,2,22,1,56000,35,49,"21-1029","6222","Mideast"
"1958","male",53,"white","no",1,"native","married",4,1,19,0,90000,40,49,"17-3023","928P","Far West"
"1959","male",24,"white","no",1,"native","never married",1,0,16,0,24000,48,49,"49-3011","928110P2","Mideast"
"1960","male",42,"white","no",1,"native","married",3,1,18,0,60000,54,49,"33-3050","92MP","Southeast"
"1961","female",19,"white","no",1,"native","never married",1,-1,19,0,4000,20,49,"43-4171","611M1","Plains"
"1962","male",63,"black","no",1,"native","never married",1,0,20,0,4400,20,0,"43-4171","6241","Far West"
"1963","female",63,"white","no",1,"native","divorced",1,0,19,0,38400,40,49,"43-6014","611M1","Far West"
"1964","male",61,"white","no",1,"native","married",2,0,15,0,32000,40,49,"53-7062","9211MP","Southeast"
"1965","female",64,"white","no",4,"foreign-born","married",2,0,16,0,48000,40,49,"43-6014","6111","Far West"
"1966","female",62,"white","no",1,"native","married",3,0,16,0,24200,37,49,"43-6014","92MP","Mideast"
"1967","male",33,"white","no",1,"native","married",3,1,20,0,70000,40,49,"33-3050","92MP","Great Lakes"
"1968","male",36,"white","no",1,"native","married",2,0,22,0,49800,45,49,"43-1011","92M1","Far West"
"1969","male",56,"AIAN","no",1,"native","separated",1,0,19,0,52000,40,49,"13-1041","9211MP","Plains"
"1970","male",61,"white","no",1,"native","married",2,0,22,0,38000,40,49,"25-90XX","611M3","Rocky Mountain"
"1971","male",55,"white","no",1,"native","married",4,0,16,0,118000,40,49,"11-91XX","2211P","Rocky Mountain"
"1972","female",58,"white","no",1,"native","married",2,0,22,0,85000,70,49,"11-9030","6111","Southeast"
"1973","female",60,"white","no",1,"native","divorced",2,1,21,0,24000,40,49,"11-9030","6111","Southeast"
"1974","female",28,"black","no",1,"native","never married",3,1,19,0,23000,40,49,"43-9061","92MP","Southeast"
"1975","female",48,"white","no",1,"native","married",4,1,22,0,93000,40,49,"13-1111","928P","Southeast"
"1976","female",30,"white","no",1,"native","married",3,1,21,0,12000,31,49,"25-4022","6111","Rocky Mountain"
"1977","male",58,"white","no",4,"foreign-born","married",2,0,22,0,87000,40,49,"15-1230","923","Great Lakes"
"1978","female",41,"white","no",1,"native","married",6,4,22,0,79000,40,49,"25-2020","6111","Great Lakes"
"1979","male",39,"white","no",1,"native","married",5,3,22,0,49000,40,49,"25-2020","6111","Plains"
"1980","male",23,"white","no",1,"native","never married",1,-1,16,0,17000,85,49,"53-50XX","928110P3","Far West"
"1981","male",42,"white","no",1,"native","married",6,3,18,0,65000,45,49,"11-3013","611M1","Great Lakes"
"1982","female",54,"black","no",4,"foreign-born","never married",3,0,22,0,48000,40,49,"25-2050","6111","Southeast"
"1983","male",48,"white","no",1,"native","married",3,1,21,0,56000,40,49,"13-2011","923","Great Lakes"
"1984","female",34,"white","no",1,"native","married",3,1,22,0,50000,40,49,"25-2020","6111","Southeast"
"1985","male",20,"white","no",1,"native","never married",1,0,16,0,3600,28,47,"15-1230","611M1","Southeast"
"1986","female",20,"asian","no",1,"native","never married",5,1,19,1,1200,15,49,"25-9040","6111","Mideast"
"1987","male",45,"other","yes",1,"native","married",6,1,22,1,120000,40,49,"15-1299","92M1","Southeast"
"1988","female",36,"white","no",1,"native","divorced",5,4,20,0,60000,40,49,"29-2032","6214","Rocky Mountain"
"1989","female",60,"black","no",1,"native","married",2,0,16,0,29000,40,49,"37-2012","611M1","Southeast"
"1990","female",54,"other","yes",4,"foreign-born","separated",2,0,20,1,27000,36,39,"25-9040","6111","Far West"
"1991","male",20,"white","no",1,"native","never married",5,1,18,0,6000,10,39,"27-4021","611M1","Far West"
"1992","male",53,"white","no",1,"native","divorced",1,0,16,0,50000,40,39,"53-7051","2213M","Southeast"
"1993","male",56,"white","no",1,"native","married",2,0,16,0,34000,40,49,"37-201X","92MP","Great Lakes"
"1994","female",31,"white","no",1,"native","married",2,0,19,0,55000,40,49,"43-5052","491","Rocky Mountain"
"1995","male",55,"white","no",1,"native","divorced",1,0,16,0,20000,35,49,"53-3052","6111","Great Lakes"
"1996","male",46,"white","no",1,"native","married",5,3,22,0,75000,18,49,"25-1000","611M1","Far West"
"1997","female",55,"white","no",1,"native","divorced",1,0,22,0,99000,60,49,"11-3031","6111","Southeast"
"1998","male",32,"white","no",1,"native","married",4,2,21,0,104000,46,49,"17-2141","3366","Far West"
"1999","female",47,"white","no",1,"native","married",3,1,16,0,10500,23,39,"25-90XX","6111","Rocky Mountain"
"2000","female",48,"white","no",1,"native","married",4,1,21,0,40000,45,49,"25-2020","6111","Southeast"
"2001","female",58,"white","no",1,"native","married",3,0,16,0,54000,40,49,"43-4YYY","92MP","Great Lakes"
"2002","male",60,"white","yes",1,"native","divorced",1,0,18,0,60000,40,49,"43-5052","491","Far West"
"2003","female",62,"mix","no",1,"native","married",2,0,20,0,2200,3,49,"25-2030","6111","Southwest"
"2004","male",27,"white","no",1,"native","married",4,2,19,0,60000,45,49,"33-3012","92MP","New England"
"2005","female",50,"white","no",1,"native","never married",2,1,22,0,80000,40,49,"25-2030","6111","New England"
"2006","female",54,"white","no",1,"native","married",2,0,19,0,46000,40,49,"11-3012","611M1","Southeast"
"2007","male",35,"white","no",1,"native","never married",1,0,22,0,57000,40,49,"11-91XX","92MP","Rocky Mountain"
"2008","male",59,"black","no",1,"native","married",3,0,15,0,77000,40,49,"53-7081","562","Mideast"
"2009","female",26,"white","no",1,"native","married",2,0,22,0,47000,40,26,"25-2020","6111","Southeast"
"2010","female",37,"white","no",1,"native","never married",4,3,14,0,24000,40,49,"43-5041","92M2","Rocky Mountain"
"2011","male",33,"white","no",1,"native","married",3,1,22,0,60000,70,49,"25-2030","6111","Southeast"
"2012","male",24,"white","no",1,"native","never married",1,0,19,0,28000,35,49,"35-2010","722Z","Plains"
"2013","male",61,"white","no",1,"native","married",2,0,22,0,7000,12,0,"25-2030","6111","Plains"
"2014","female",43,"black","no",1,"native","never married",2,1,16,0,15000,38,47,"51-6011","7211","Southeast"
"2015","male",30,"white","no",1,"native","never married",5,0,21,0,41000,40,49,"25-4022","9211MP","Southeast"
"2016","male",42,"white","yes",1,"native","never married",1,0,21,1,32000,40,49,"11-3021","9211MP","Rocky Mountain"
"2017","male",33,"white","no",1,"native","married",5,0,16,0,35000,40,49,"49-904X","3366","New England"
"2018","female",55,"white","no",1,"native","married",2,0,22,1,83000,60,49,"25-2020","6111","Great Lakes"
"2019","female",21,"white","no",1,"native","never married",1,0,19,0,5000,9,39,"43-9022","3115","Great Lakes"
"2020","male",19,"white","yes",1,"native","never married",4,1,16,0,23100,60,49,"55-3010","928110P1","Mideast"
"2021","female",47,"white","no",1,"native","married",2,0,22,0,40000,40,49,"11-91XX","491","Plains"
"2022","female",24,"white","yes",1,"native","never married",2,1,16,0,38000,40,49,"13-2020","5313","Plains"
"2023","male",23,"black","no",1,"native","never married",1,0,21,0,6000,40,26,"31-113X","6214","Rocky Mountain"
"2024","female",33,"white","no",1,"native","never married",1,0,22,0,90000,40,49,"19-10XX","923","Southeast"
"2025","female",40,"other","yes",1,"native","never married",2,1,16,1,18000,40,49,"29-205X","622M","Southwest"
"2026","female",54,"white","no",1,"native","married",2,0,16,0,50000,40,49,"43-5051","491","New England"
"2027","female",60,"white","no",1,"native","married",2,0,16,0,38200,40,49,"43-6013","622M","Mideast"
"2028","male",49,"white","no",1,"native","married",2,0,21,0,79000,40,49,"15-1221","928P","Rocky Mountain"
"2029","male",62,"white","no",1,"native","married",1,0,21,0,98000,50,49,"11-9030","611M1","Southeast"
"2030","female",44,"white","no",5,"foreign-born","married",2,0,20,0,52000,38,49,"15-1230","928P","Abroad"
"2031","male",54,"white","no",1,"native","married",3,0,16,0,110000,40,49,"49-9021","23","Southeast"
"2032","male",25,"AIAN","yes",1,"native","never married",1,0,22,1,50000,55,49,"13-1030","923","Far West"
"2033","male",42,"other","yes",1,"native","married",4,0,21,0,58000,40,49,"33-3021","92MP","Far West"
"2034","male",40,"white","yes",4,"foreign-born","divorced",4,0,23,1,52000,40,39,"49-2011","6111","Mideast"
"2035","male",41,"white","no",1,"native","married",4,2,22,0,144000,44,49,"33-1021","92MP","Far West"
"2036","female",57,"white","no",1,"native","married",2,0,21,0,64000,55,49,"43-5032","113M","Southeast"
"2037","male",30,"black","no",3,"native","married",2,0,16,0,54000,40,49,"51-91XX","488","Great Lakes"
"2038","male",47,"AIAN","no",1,"native","married",4,2,21,1,97000,40,49,"53-2010","92M1","Far West"
"2039","female",51,"white","no",1,"native","married",4,0,16,0,28000,40,49,"53-3051","6111","Great Lakes"
"2040","male",23,"white","no",1,"native","never married",6,0,20,0,36000,40,49,"47-2061","23","Southeast"
"2041","female",46,"AIAN","no",1,"native","married",4,2,21,0,7500,20,26,"25-9040","6111","Great Lakes"
"2042","male",36,"white","no",1,"native","married",3,1,19,0,52000,48,49,"33-2011","92MP","Southeast"
"2043","female",55,"white","no",1,"native","married",2,0,21,0,58000,47,49,"25-2020","6111","Rocky Mountain"
"2044","female",37,"other","yes",1,"native","married",3,1,22,0,67000,40,49,"43-4051","51912","Far West"
"2045","male",29,"white","no",1,"native","never married",1,0,21,0,53000,50,49,"25-2020","6111","Plains"
"2046","male",33,"white","no",1,"native","divorced",1,-1,19,0,40000,50,49,"33-3050","92MP","Southeast"
"2047","female",54,"white","no",1,"native","divorced",1,0,21,0,48000,50,39,"33-3012","92MP","Southeast"
"2048","male",48,"white","no",1,"native","married",4,2,21,0,130000,45,49,"33-1012","92MP","Great Lakes"
"2049","male",51,"white","no",1,"native","married",5,1,16,0,75000,40,49,"51-8021","3MS","Mideast"
"2050","female",37,"other","yes",1,"native","married",4,1,21,1,22500,50,49,"25-2020","6111","Rocky Mountain"
"2051","male",45,"white","no",1,"native","married",4,1,19,0,35000,40,49,"33-1011","92MP","Great Lakes"
"2052","female",27,"black","no",1,"native","never married",4,0,16,0,18000,40,49,"41-2010","4523","Southeast"
"2053","male",49,"white","no",1,"native","married",2,0,16,0,35000,40,49,"53-3030","23","Southeast"
"2054","male",43,"white","no",1,"native","married",4,1,22,0,138000,40,49,"51-1011","2211P","Southeast"
"2055","female",32,"white","no",1,"native","married",4,2,21,0,65000,40,49,"43-1011","92113","Southeast"
"2056","female",43,"white","no",1,"native","married",4,2,22,0,90000,30,49,"15-1299","92M2","Mideast"
"2057","male",20,"white","no",1,"native","never married",6,2,19,0,70000,40,49,"23-2099","9211MP","Rocky Mountain"
"2058","female",56,"white","yes",4,"foreign-born","married",3,0,20,1,50000,40,49,"13-1070","6241","Far West"
"2059","male",37,"AIAN","no",1,"native","married",6,4,13,0,18200,39,49,"37-3011","9211MP","Plains"
"2060","female",58,"black","no",5,"foreign-born","married",3,1,22,0,29000,40,49,"13-2011","92MP","Southeast"
"2061","female",41,"other","yes",5,"foreign-born","married",5,1,19,1,24000,40,49,"31-1122","923","Far West"
"2062","male",41,"white","yes",2,"native","divorced",2,1,21,1,80000,40,49,"27-3031","9211MP","Southeast"
"2063","female",46,"white","no",1,"native","married",4,2,21,0,42000,40,49,"43-9XXX","92MP","Southeast"
"2064","male",24,"white","no",1,"native","never married",1,0,16,0,21000,60,49,"33-1012","928110P2","Rocky Mountain"
"2065","female",62,"white","no",1,"native","divorced",1,0,20,0,52000,40,49,"29-1141","6231","Great Lakes"
"2066","female",56,"white","no",1,"native","married",2,0,21,0,52000,40,49,"21-1029","6214","Great Lakes"
"2067","female",50,"white","yes",4,"foreign-born","divorced",5,0,21,1,16700,32,49,"53-3051","6111","Rocky Mountain"
"2068","male",57,"white","no",4,"foreign-born","married",2,0,21,1,63000,40,49,"39-9032","712","Great Lakes"
"2069","male",30,"white","no",1,"native","never married",3,0,21,0,50000,40,49,"39-9011","622M","Great Lakes"
"2070","male",59,"black","no",1,"native","married",2,0,17,0,130000,40,49,"53-3030","562","Rocky Mountain"
"2071","male",47,"white","no",4,"foreign-born","married",5,3,16,0,1e+05,40,49,"51-4041","485M","Mideast"
"2072","male",30,"white","no",1,"native","married",2,0,21,0,40000,40,49,"11-9030","6111","Far West"
"2073","male",40,"white","no",1,"native","married",4,2,22,0,128000,55,49,"11-1021","928110P2","Southeast"
"2074","male",63,"white","no",1,"native","married",2,0,16,0,62000,40,49,"49-904X","22132","Rocky Mountain"
"2075","male",42,"asian","no",5,"foreign-born","married",2,1,22,2,60000,40,49,"43-4051","923","Far West"
"2076","male",29,"white","no",1,"native","married",4,2,18,0,28800,40,49,"47-2152","23","Rocky Mountain"
"2077","female",28,"AIAN","no",1,"native","never married",1,0,19,0,8700,28,0,"25-9040","6111","Far West"
"2078","male",53,"white","no",1,"native","married",2,0,23,0,130000,40,49,"11-9111","622M","Southeast"
"2079","female",59,"black","no",1,"native","married",2,0,16,0,24000,40,49,"53-3099","6241","Southeast"
"2080","male",63,"white","no",1,"native","married",2,0,19,0,10000,40,49,"11-1021","2211P","Plains"
"2081","female",29,"white","no",1,"native","married",3,1,21,0,48000,40,49,"29-1141","923","Plains"
"2082","female",49,"white","no",1,"native","married",2,0,22,0,55000,45,49,"25-2020","6111","Plains"
"2083","female",40,"white","no",1,"native","married",5,3,21,0,55000,40,49,"25-2050","6111","Far West"
"2084","male",24,"white","no",1,"native","never married",4,0,19,0,32000,40,49,"49-3023","23","Great Lakes"
"2085","female",44,"white","no",1,"native","married",4,2,22,0,50000,40,49,"25-2010","6111","Far West"
"2086","female",23,"white","no",1,"native","married",2,0,21,0,30000,40,39,"25-2050","6111","Great Lakes"
"2087","female",31,"AIAN","no",1,"native","never married",4,0,21,1,29500,40,49,"43-6014","6111","Southwest"
"2088","female",45,"black","no",1,"native","married",5,1,16,0,40000,40,49,"43-3021","2213M","Rocky Mountain"
"2089","female",44,"white","no",1,"native","married",4,2,23,0,87000,60,49,"11-9030","6111","Southeast"
"2090","female",35,"white","no",1,"native","married",4,2,22,0,45000,40,39,"25-2030","6111","Southeast"
"2091","female",64,"white","no",1,"native","married",2,0,16,0,40500,40,49,"43-6014","6111","Southeast"
"2092","male",51,"asian","no",4,"foreign-born","separated",2,0,16,1,83000,40,49,"53-3030","928P","Far West"
"2093","male",40,"black","no",1,"native","married",2,0,19,0,1e+05,50,49,"11-91XX","928110P1","Southeast"
"2094","male",44,"white","no",1,"native","married",5,3,20,0,62000,50,49,"33-1012","92MP","New England"
"2095","female",40,"black","no",1,"native","never married",2,1,22,0,106000,40,49,"25-2030","6111","Mideast"
"2096","female",25,"white","yes",1,"native","married",2,0,22,0,42500,40,49,"13-1070","611M1","Far West"
"2097","female",50,"black","no",1,"native","widowed",2,0,16,0,26000,40,49,"43-4031","92M2","Southeast"
"2098","female",58,"black","no",1,"native","divorced",1,0,20,0,73000,40,49,"51-9061","92M2","Southeast"
"2099","female",25,"white","no",1,"native","never married",1,0,23,0,48000,45,49,"25-1000","611M1","Far West"
"2100","male",28,"white","no",1,"native","married",2,0,16,0,35000,35,49,"11-91XX","928110P4","Southeast"
"2101","female",29,"other","no",1,"native","married",3,0,22,0,58000,45,49,"25-2020","6111","Far West"
"2102","female",57,"white","no",1,"native","divorced",1,0,18,0,35000,53,49,"25-9040","6111","New England"
"2103","female",43,"white","no",1,"native","married",4,2,22,0,90000,40,49,"33-3050","92MP","Far West"
"2104","female",53,"white","no",1,"native","married",2,0,22,0,56000,40,26,"25-2020","6111","Plains"
"2105","male",45,"white","no",1,"native","married",4,2,24,1,55000,40,49,"19-2099","611M1","Southwest"
"2106","female",61,"white","no",1,"native","married",2,0,21,0,42000,40,49,"43-6014","92MP","Southeast"
"2107","female",32,"black","no",1,"native","never married",1,0,22,0,42800,40,49,"15-1230","92M1","Great Lakes"
"2108","male",22,"white","no",1,"native","never married",3,2,16,0,39000,40,49,"47-4051","23","Mideast"
"2109","male",29,"white","no",1,"native","married",3,1,21,0,50000,40,49,"33-3050","92MP","Great Lakes"
"2110","female",19,"white","no",1,"native","never married",2,0,16,0,20000,50,49,"33-3012","92MP","Southeast"
"2111","female",60,"AIAN","no",1,"native","widowed",2,0,21,0,30000,40,49,"25-2020","6111","Southeast"
"2112","female",32,"white","no",1,"native","never married",1,0,22,0,35000,35,49,"25-1000","611M1","Great Lakes"
"2113","female",40,"white","no",1,"native","never married",1,0,23,0,126000,40,49,"13-2031","6111","Mideast"
"2114","female",45,"white","no",1,"native","married",4,2,22,0,65000,50,49,"29-1127","6111","Rocky Mountain"
"2115","male",56,"white","no",1,"native","married",3,0,18,0,48000,40,49,"11-1021","92M2","Rocky Mountain"
"2116","female",61,"white","no",1,"native","widowed",1,0,18,0,62000,44,49,"43-5052","491","Great Lakes"
"2117","female",48,"white","no",1,"native","married",2,0,19,0,85000,50,49,"15-1230","92MP","Rocky Mountain"
"2118","male",32,"white","no",1,"native","married",4,2,21,0,56000,45,49,"25-2020","6111","Great Lakes"
"2119","female",52,"white","no",1,"native","married",4,0,21,0,50000,40,49,"25-2020","6111","Southeast"
"2120","male",29,"white","no",1,"native","married",2,0,19,0,45000,40,49,"33-3050","923","New England"
"2121","female",51,"white","no",1,"native","married",2,0,22,0,72000,45,49,"25-30XX","923","Southeast"
"2122","female",44,"white","no",1,"native","widowed",1,0,22,0,75000,48,49,"25-1000","611M1","Southeast"
"2123","female",36,"white","yes",1,"native","married",4,2,22,0,93000,40,49,"21-1029","6241","Far West"
"2124","female",29,"white","no",1,"native","married",3,1,23,0,64000,65,49,"29-1210","622M","Rocky Mountain"
"2125","female",37,"white","no",1,"native","married",4,2,22,0,50000,40,47,"25-2020","6111","Mideast"
"2126","female",19,"white","no",1,"native","never married",1,0,16,0,46700,36,49,"35-2010","722Z","Plains"
"2127","male",33,"white","no",1,"native","married",5,3,20,0,48000,42,49,"33-3012","92MP","Southeast"
"2128","female",21,"white","no",1,"native","never married",1,-1,16,0,18000,38,39,"55-3010","928110P3","Southeast"
"2129","female",37,"other","yes",1,"native","married",4,2,19,0,50000,36,49,"21-1029","6241","Far West"
"2130","female",49,"white","yes",4,"foreign-born","widowed",1,0,21,1,30000,40,49,"27-3091","6111","Southeast"
"2131","male",33,"white","no",1,"native","married",2,0,21,0,73000,42,49,"29-2052","622M","Far West"
"2132","male",47,"black","no",1,"native","married",3,0,16,0,31000,40,49,"51-8031","2213M","Southeast"
"2133","male",61,"white","no",1,"native","divorced",2,0,16,0,52000,40,49,"11-91XX","488","Rocky Mountain"
"2134","male",51,"white","no",1,"native","married",3,0,21,0,79000,50,49,"21-1029","92MP","Great Lakes"
"2135","female",36,"mix","yes",5,"foreign-born","never married",4,1,16,0,30000,40,49,"51-91XX","3231","Plains"
"2136","female",36,"white","no",1,"native","never married",2,1,21,0,46000,45,49,"21-1029","6241","Southeast"
"2137","male",25,"white","no",1,"native","married",3,1,19,0,38000,40,49,"25-2030","6111","Southwest"
"2138","male",55,"white","no",1,"native","married",5,0,16,0,30000,40,49,"47-2140","611M1","Southeast"
"2139","male",20,"white","no",1,"native","never married",1,0,19,0,6700,20,26,"35-3031","722Z","Far West"
"2140","female",52,"white","no",5,"foreign-born","married",3,0,16,2,21000,40,49,"25-9040","6111","Great Lakes"
"2141","female",60,"white","no",1,"native","married",4,0,16,0,75000,50,49,"25-9040","6111","Far West"
"2142","male",28,"white","yes",1,"native","never married",4,1,19,1,2700,20,49,"33-9030","611M1","Southeast"
"2143","female",36,"white","no",1,"native","divorced",1,0,18,0,33000,40,39,"31-909X","622M","Great Lakes"
"2144","male",56,"white","no",1,"native","married",3,1,21,0,87000,40,49,"43-1011","92M2","Southeast"
"2145","male",54,"black","no",1,"native","never married",1,0,15,0,62000,40,49,"37-201X","6111","Far West"
"2146","female",33,"asian","no",4,"foreign-born","married",6,2,21,2,40000,35,49,"43-4171","622M","Mideast"
"2147","male",23,"white","no",1,"native","never married",3,0,19,1,11000,35,49,"49-904X","611M1","Rocky Mountain"
